faces_base,faces_shift_4s,body_parts_base,body_parts_shift_4s,round_objects_base,round_objects_shift_4s,animate_objects_base,animate_objects_shift_4s,bgm_base,bgm_shift_4s,valence_base,valence_shift_4s,arousal_base,arousal_shift_4s,num_chars_base,num_chars_shift_4s,new_char_base,new_char_shift_4s,hierarchy_base,hierarchy_shift_4s,social_action_base,social_action_shift_4s,speaking_base,speaking_shift_4s,speaking_self_base,speaking_self_shift_4s,speaking_others_base,speaking_others_shift_4s,speaking_things_base,speaking_things_shift_4s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019130351982152304,0.0,0.019130351982152304,0.0,0.0,0.0,0.019130351982152304,0.0,0.019130351982152304,0.0,0.028695527973228455,0.0,0.14347763986614226,0.0,0.03826070396430461,0.0,0.019130351982152304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25510521548559695,0.0,0.25510521548559695,0.0,0.0,0.0,0.25510521548559695,0.0,0.25510521548559695,0.0,0.38265782322839526,0.0,1.9132891161419767,0.0,0.5102104309711939,0.0,0.25510521548559695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6628580671786298,0.019130351982152304,0.6628580671786298,0.019130351982152304,0.0,0.0,0.6628580671786298,0.019130351982152304,0.6628580671786298,0.019130351982152304,0.994287100767945,0.028695527973228455,4.990565855821878,0.1434776398661423,1.3257161343572597,0.03826070396430461,0.6437277151964778,0.019130351982152304,0.0,0.0,0.0,0.0,0.019130351982152304,0.0,0.009565175991076152,0.0,0.0,0.0,0.0,0.0
0.9680486516695594,0.25510521548559684,0.9680486516695594,0.25510521548559684,0.0,0.0,0.9680486516695594,0.25510521548559684,0.9680486516695594,0.25510521548559684,1.452072977504339,0.3826578232283953,7.515470103007292,1.9132891161419767,1.936097303339119,0.5102104309711937,0.7129434361839625,0.25510521548559684,0.0,0.0,0.0,0.0,0.25510521548559684,0.0,0.12755260774279842,0.0,0.0,0.0,0.0,0.0
1.10973904591933,0.6628580671786299,1.10973904591933,0.6628580671786299,0.0,0.0,1.10973904591933,0.6628580671786299,1.10973904591933,0.6628580671786299,1.6646085688789944,0.9942871007679451,8.99546608756468,4.9905658558218775,2.209912915847583,1.3257161343572599,0.4468809787406998,0.6437277151964778,0.0,0.0,0.0,0.0,0.6437277151964778,0.019130351982152304,0.3218638575982389,0.009565175991076152,0.0,0.0,0.0,0.0
1.1447132947352494,0.9680486516695594,1.1447132947352494,0.9680486516695594,0.0,0.0,1.1447132947352494,0.9680486516695594,1.1447132947352494,0.9680486516695594,1.717069942102874,1.452072977504339,9.680950969926727,7.515470103007292,2.1618739817277,1.936097303339119,0.17666464306568982,0.7129434361839625,0.0,0.0,0.0,0.0,0.7129434361839625,0.25510521548559684,0.35647171809198125,0.12755260774279842,0.0,0.0,0.0,0.0
1.1274394230021638,1.10973904591933,1.1274394230021638,1.10973904591933,0.0,0.0,1.1274394230021638,1.10973904591933,1.1274394230021638,1.10973904591933,1.68159395851217,1.6646085688789944,9.896963752024874,8.99546608756468,1.9234498124150128,2.209912915847583,0.01770037708283416,0.4468809787406998,0.0,0.0,0.0,0.0,0.4660113307228521,0.6437277151964778,0.23300566536142606,0.3218638575982389,0.0,0.0,0.0,0.0
1.091764890597217,1.1447132947352494,1.091764890597217,1.1447132947352494,0.0,0.0,1.091764890597217,1.1447132947352494,1.091764890597217,1.1447132947352494,1.5100947281530273,1.717069942102874,9.816974300049159,9.680950969926727,1.6995054553596545,2.1618739817277,-0.052948404138032125,0.17666464306568982,0.0,0.0,0.0,0.0,0.4317698585512867,0.7129434361839625,0.21588492927564334,0.35647171809198125,0.0,0.0,0.0,0.0
1.0568982607180872,1.1274394230021638,1.0568982607180872,1.1274394230021638,0.0,0.0,1.0568982607180872,1.1274394230021638,1.037767908735935,1.1274394230021638,1.2730487094699683,1.68159395851217,9.609045901347486,9.896963752024874,1.5589269984765097,1.9234498124150128,-0.07054116228407663,0.01770037708283416,0.0,0.0,0.0,0.0,0.670993268270388,0.4660113307228521,0.33071404613965594,0.23300566536142606,0.0,0.0,0.0,0.0
